instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Arsip Nasional Republik Indonesia",2012,1,3,,,
"Arsip Nasional Republik Indonesia",2012,2,3.5,,,
"Arsip Nasional Republik Indonesia",2012,3,9.2,8.7,8.7,8.7
"Arsip Nasional Republik Indonesia",2012,4,9,4,3.5,3
"Arsip Nasional Republik Indonesia",2012,5,21,17,17,17
"Arsip Nasional Republik Indonesia",2012,6,24,19,19,19
"Arsip Nasional Republik Indonesia",2012,7,24,19,19,19
"Arsip Nasional Republik Indonesia",2012,8,24,19,19,19
"Arsip Nasional Republik Indonesia",2012,9,40,30,25,20
"Arsip Nasional Republik Indonesia",2012,10,50,40,30,25
"Arsip Nasional Republik Indonesia",2012,11,,,,
"Arsip Nasional Republik Indonesia",2012,12,100,100,100,100
"Arsip Nasional Republik Indonesia",2013,1,4,,,
"Arsip Nasional Republik Indonesia",2013,2,18.18,,,
"Arsip Nasional Republik Indonesia",2013,3,30,27,27,25
"Arsip Nasional Republik Indonesia",2013,4,35,30,30,27
"Arsip Nasional Republik Indonesia",2013,5,42,38,38,30
"Arsip Nasional Republik Indonesia",2013,6,50,43,43,35
"Arsip Nasional Republik Indonesia",2013,7,75,60,60,40
"Arsip Nasional Republik Indonesia",2013,8,,,,
"Arsip Nasional Republik Indonesia",2013,9,,,,
"Arsip Nasional Republik Indonesia",2013,10,,,,
"Arsip Nasional Republik Indonesia",2013,11,,,,
"Arsip Nasional Republik Indonesia",2013,12,,,,
"Badan Informasi Geospasial (BIG)",2012,1,,,,
"Badan Informasi Geospasial (BIG)",2012,2,,,,
"Badan Informasi Geospasial (BIG)",2012,3,,,,
"Badan Informasi Geospasial (BIG)",2012,4,,,,
"Badan Informasi Geospasial (BIG)",2012,5,28,71,70,10
"Badan Informasi Geospasial (BIG)",2012,6,89,76,76,75
"Badan Informasi Geospasial (BIG)",2012,7,89,87,87,81
"Badan Informasi Geospasial (BIG)",2012,8,92,87,87,86
"Badan Informasi Geospasial (BIG)",2012,9,93,91,91,89
"Badan Informasi Geospasial (BIG)",2012,10,94,93,93,92
"Badan Informasi Geospasial (BIG)",2012,11,,,,
"Badan Informasi Geospasial (BIG)",2012,12,,,,
"Badan Informasi Geospasial (BIG)",2013,1,25.4,,,
"Badan Informasi Geospasial (BIG)",2013,2,52.66,,,
"Badan Informasi Geospasial (BIG)",2013,3,56.87,56.87,52.37,
"Badan Informasi Geospasial (BIG)",2013,4,65.79,65.79,63.05,.1
"Badan Informasi Geospasial (BIG)",2013,5,70.39,70.39,67.65,1.08
"Badan Informasi Geospasial (BIG)",2013,6,75.32,75.32,73.4,2.95
"Badan Informasi Geospasial (BIG)",2013,7,83.72,83.72,79.4,4.08
"Badan Informasi Geospasial (BIG)",2013,8,,,,
"Badan Informasi Geospasial (BIG)",2013,9,,,,
"Badan Informasi Geospasial (BIG)",2013,10,95.29,95.29,88.68,6.78
"Badan Informasi Geospasial (BIG)",2013,11,,,,
"Badan Informasi Geospasial (BIG)",2013,12,,,,
"Badan Intelijen Negara (BIN)",2012,1,,,,
"Badan Intelijen Negara (BIN)",2012,2,,,,
"Badan Intelijen Negara (BIN)",2012,3,,,,
"Badan Intelijen Negara (BIN)",2012,4,,,,
"Badan Intelijen Negara (BIN)",2012,5,,,,
"Badan Intelijen Negara (BIN)",2012,6,,,,
"Badan Intelijen Negara (BIN)",2012,7,,,,
"Badan Intelijen Negara (BIN)",2012,8,,,,
"Badan Intelijen Negara (BIN)",2012,9,,,,
"Badan Intelijen Negara (BIN)",2012,10,,,,
"Badan Intelijen Negara (BIN)",2012,11,,,,
"Badan Intelijen Negara (BIN)",2012,12,,,,
"Badan Intelijen Negara (BIN)",2013,1,,,,
"Badan Intelijen Negara (BIN)",2013,2,,,,
"Badan Intelijen Negara (BIN)",2013,3,,,,
"Badan Intelijen Negara (BIN)",2013,4,,,,
"Badan Intelijen Negara (BIN)",2013,5,,,,
"Badan Intelijen Negara (BIN)",2013,6,,,,
"Badan Intelijen Negara (BIN)",2013,7,,,,
"Badan Intelijen Negara (BIN)",2013,8,,,,
"Badan Intelijen Negara (BIN)",2013,9,,,,
"Badan Intelijen Negara (BIN)",2013,10,,,,
"Badan Intelijen Negara (BIN)",2013,11,,,,
"Badan Intelijen Negara (BIN)",2013,12,,,,
"Badan Kepegawaian Negara",2012,1,7.67,,,
"Badan Kepegawaian Negara",2012,2,15.1,,,
"Badan Kepegawaian Negara",2012,3,15.09,23.77,17.92,16.54
"Badan Kepegawaian Negara",2012,4,19.67,30.37,23.3,20.89
"Badan Kepegawaian Negara",2012,5,24.74,33.66,28.47,30.47
"Badan Kepegawaian Negara",2012,6,31.05,41.96,37.12,44.19
"Badan Kepegawaian Negara",2012,7,45.9,42.94,41.14,52.8
"Badan Kepegawaian Negara",2012,8,67.48,62.62,59.07,64.21
"Badan Kepegawaian Negara",2012,9,75,72,70,65
"Badan Kepegawaian Negara",2012,10,95,80,75,70
"Badan Kepegawaian Negara",2012,11,,,,
"Badan Kepegawaian Negara",2012,12,,,,
"Badan Kepegawaian Negara",2013,1,,,,
"Badan Kepegawaian Negara",2013,2,,,,
"Badan Kepegawaian Negara",2013,3,9,,,
"Badan Kepegawaian Negara",2013,4,14,12,12,
"Badan Kepegawaian Negara",2013,5,23,19,19,
"Badan Kepegawaian Negara",2013,6,32.56,27.9,27.9,
"Badan Kepegawaian Negara",2013,7,32.56,32.56,32.56,4.65
"Badan Kepegawaian Negara",2013,8,,,,
"Badan Kepegawaian Negara",2013,9,,,,
"Badan Kepegawaian Negara",2013,10,,,,
"Badan Kepegawaian Negara",2013,11,,,,
"Badan Kepegawaian Negara",2013,12,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,1,19.44,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,2,43.73,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,3,38.87,38.87,4.86,9.72
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,4,29.15,34.01,6.71,26.82
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,5,19,29,14,28
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,6,,,23,34
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,7,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,8,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,9,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,10,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,11,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2012,12,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,1,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,2,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,3,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,4,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,5,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,6,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,7,48,13,4,33
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,8,,,,
"Badan Kependudukan Keluarga Berencana nasional (BKKBN)",2013,9,,,,
