latitude,longitude,kode_daerah,nama_daerah,kuota,batas_tahun,jumlah_pendaftaran,jumlah_lunas_tunda
5.55,95.31667,1100,"Prov. Nanggroe Aceh Darussalam",3888,2030,63705,262
3.583333,98.66666,1200,"Prov. Sumatera Utara",8180,2026,93544,854
-.95,100.3531,1300,"Prov. Sumatera Barat",4457,2027,56916,372
.4816667,101.4686,1400,"Prov. Riau",5010,2027,62216,396
-1.589167,103.61,1500,"Prov. Jambi",2613,2029,39043,371
-2.990833,104.7567,1600,"Prov. Sumatera Selatan",6300,2026,77099,821
-4.31242,103.031,1701,"Kab. Bengkulu Selatan",127,2023,1133,23
-3.44252,102.687,1702,"Kab. Rejang Lebong",230,2025,2410,39
-3.0694,101.834,1703,"Kab. Bengkulu Utara",198,2022,1502,39
-4.59173,103.427,1704,"Kab. Kaur",106,2018,425,22
-4.07019,102.72,1705,"Kab. Seluma",169,2019,864,33
-2.73128,101.448,1706,"Kab. Mukomuko",175,2022,1338,28
-3.05177,102.219,1707,"Kab. Lebong",91,2022,730,10
-3.64761,102.658,1708,"Kab. Kepahiang",108,2025,1198,20
-3.67487,102.424,1709,"Kab. Bengkulu Tengah",90,2019,467,14
-3.85375,102.297,1771,"Kota Bengkulu",305,2030,4921,51
-5.429722,105.2625,1800,"Prov. Lampung",6240,2026,73222,882
-2.1,106.1,1900,"Prov. Kepulauan Bangka Belitung",904,2029,13369,164
1.083333,104.4833,2100,"Prov. Kepulauan Riau",984,2026,12053,122
-6.183333,106.8333,3100,"Prov. DKI Jakarta",7034,2027,90226,747
-6.54412,107.002,3201,"Kab. Bogor",3553,2024,33834,537
-7.07493,106.717,3202,"Kab. Sukabumi",1667,2022,12991,270
-7.05156,107.126,3203,"Kab. Cianjur",1433,2021,10128,212
-7.07311,107.592,3204,"Kab. Bandung",2503,2023,22422,319
-7.3425,107.778,3205,"Kab. Garut",1891,2022,15836,202
-7.42885,108.164,3206,"Kab. Tasikmalaya",1510,2024,14335,226
-7.4369,108.486,3207,"Kab. Ciamis",1511,2024,15445,267
-6.98826,108.591,3208,"Kab. Kuningan",978,2024,9989,150
-6.75547,108.576,3209,"Kab. Cirebon",2279,2025,25625,340
-6.81747,108.228,3210,"Kab. Majalengka",1161,2025,12180,179
-6.81018,107.979,3211,"Kab. Sumedang",842,2023,7089,119
-6.44806,108.198,3212,"Kab. Indramayu",1856,2026,21449,293
-6.4939,107.726,3213,"Kab. Subang",1227,2024,11693,202
-6.58964,107.431,3214,"Kab. Purwakarta",751,2024,7693,134
-6.28699,107.364,3215,"Kab. Karawang",2143,2025,22606,326
-6.20242,107.135,3216,"Kab. Bekasi",2265,2025,24850,303
-6.90356,107.464,3217,"Kab. Bandung Barat",1102,2023,9274,135
-6.59621,106.794,3271,"Kota Bogor",848,2025,9572,124
-6.94092,106.906,3272,"Kota Sukabumi",243,2023,2240,44
-6.90992,107.647,3273,"Kota Bandung",2121,2025,23209,209
-6.74773,108.555,3274,"Kota Cirebon",298,2026,3494,37
-6.28521,106.973,3275,"Kota Bekasi",2309,2027,30017,157
-6.39243,106.825,3276,"Kota Depok",1543,2026,18273,163
-6.88191,107.549,3277,"Kota Cimahi",498,2025,5561,66
-7.36021,108.218,3278,"Kota Tasikmalaya",675,2026,7780,101
-7.36996,108.559,3279,"Kota Banjar",159,2024,1533,30
-6.966667,110.4167,3300,"Prov. Jawa Tengah",29435,2028,411479,4612
-7.801389,110.3644,3400,"Prov. D I Yogyakarta",3068,2029,47089,386
-7.266667,112.7167,3500,"Prov. Jawa Timur",33935,2030,538480,4113
-6.12,106.1503,3600,"Prov. Banten",8484,2027,105635,1269
-8.65,115.2167,5100,"Prov. Bali",636,2027,8203,85
-8.583333,116.1167,5200,"Prov. Nusa Tenggara Barat",4464,2029,67510,582
-10.18333,123.5833,5300,"Prov. Nusa Tenggara Timur",647,2025,6852,75
1.51623,109.329,6101,"Kab. Sambas",294,2023,2628,49
1.03394,109.487,6102,"Kab. Bengkayang",59,2022,442,7
.516649,109.697,6103,"Kab. Landak",50,2022,379,8
.359825,109.165,6104,"Kab. Pontianak",167,2023,1565,21
.285377,110.577,6105,"Kab. Sanggau",106,2022,790,17
-1.68179,110.539,6106,"Kab. Ketapang",232,2021,1653,34
-.119481,112.107,6107,"Kab. Sintang",129,2023,1192,17
.830991,112.915,6108,"Kab. Kapuas Hulu",119,2023,1110,16
.055962,110.953,6109,"Kab. Sekadau",55,2022,440,8
-.725618,111.783,6110,"Kab. Melawi",95,2023,807,18
-1.07557,110.088,6111,"Kab. Kayong Utara",71,2019,352,12
-.402846,109.51,6112,"Kab. Kubu Raya",285,2024,2789,49
-.089018,109.351,6171,"Kota Pontianak",561,2028,7991,79
.879057,109.019,6172,"Kota Singkawang",100,2027,1250,19
-2.21,113.92,6200,"Prov. Kalimantan Tengah",1336,2030,20886,164
-3.314444,114.5925,6300,"Prov. Kalimantan Selatan",3778,2034,73729,414
-1.62224,116.229,6401,"Kab. Pasir",231,2031,3944,21
.189887,115.19,6402,"Kab. Kutai Barat",86,2024,894,6
