nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2000,2037765
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2000,47311
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2000,10200
"Aneka Tambang Tbk, PT","Gold","kg",2000,4123
"Aneka Tambang Tbk, PT","Silver","kg",2000,30900
"Aneka Tambang Tbk, PT","Bauxite","mt",2000,1423859
"Aneka Tambang Tbk, PT","Iron sand","wmt",2000,
"Timah Tbk, PT","Tin metal","ton",2000,34106
"Freeport Indonesia, PT","Copper","ton",2000,556603
"Freeport Indonesia, PT","Gold","kg",2000,50726
"Freeport Indonesia, PT","Silver","kg",2000,83705
"Koba Tin, PT","Tin metal","ton",2000,9398
"International Nickel Ind, PT","Ni+Co in matte","ton",2000,54083
"Gunung Kikara Mining, PT","Tin metal","ton",2000,
"Karimun Granite, PT","Granite","ton",2000,4380316
"Lusang Mining, PT","Gold","kg",2000,
"Lusang Mining, PT","Silver","kg",2000,
"Ampalit Mas Perdana, PT","Gold","kg",2000,
"Ampalit Mas Perdana, PT","Silver","kg",2000,
"Monterado Mas Mining, PT","Gold","kg",2000,
"Monterado Mas Mining, PT","Silver","kg",2000,
"Prima Lirang Mining, PT","Gold","kg",2000,
"Prima Lirang Mining, PT","Silver","kg",2000,
"Kelian Equatorial Mining, PT","Gold","kg",2000,9826
"Kelian Equatorial Mining, PT","Silver","kg",2000,8670
"Indo Muro Kencana, PT","Gold","kg",2000,3003
"Indo Muro Kencana, PT","Silver","kg",2000,63828
"Newmont Minahasa Raya, PT","Gold","kg",2000,6635
"Newmont Minahasa Raya, PT","Silver","kg",2000,535
"Barisan Tropical Mining, PT","Gold","kg",2000,
"Barisan Tropical Mining, PT","Silver","kg",2000,
"Newmont Nusa Tenggara, PT","Copper","ton",2000,288160
"Newmont Nusa Tenggara, PT","Gold","kg",2000,10197
"Newmont Nusa Tenggara, PT","Silver","kg",2000,38246
"Nusa Halmahera Minerals, PT","Gold","kg",2000,7428
"Nusa Halmahera Minerals, PT","Silver","kg",2000,4349
"Avocet Bolaang Mongondouw, PT","Gold","kg",2000,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2000,
"Galuh Cempaka, PT","Diamond","crt",2000,
"Galuh Cempaka, PT","Gold","kg",2000,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2001,2860643
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2001,46854
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2001,10274
"Aneka Tambang Tbk, PT","Gold","kg",2001,1940
"Aneka Tambang Tbk, PT","Silver","kg",2001,
"Aneka Tambang Tbk, PT","Bauxite","mt",2001,1217643
"Aneka Tambang Tbk, PT","Iron sand","wmt",2001,
"Timah Tbk, PT","Tin metal","ton",2001,39999
"Freeport Indonesia, PT","Copper","ton",2001,527709
"Freeport Indonesia, PT","Gold","kg",2001,71237
"Freeport Indonesia, PT","Silver","kg",2001,91112
"Koba Tin, PT","Tin metal","ton",2001,15653
"International Nickel Ind, PT","Ni+Co in matte","ton",2001,61293
"Gunung Kikara Mining, PT","Tin metal","ton",2001,
"Karimun Granite, PT","Granite","ton",2001,4001924
"Lusang Mining, PT","Gold","kg",2001,
"Lusang Mining, PT","Silver","kg",2001,
"Ampalit Mas Perdana, PT","Gold","kg",2001,
"Ampalit Mas Perdana, PT","Silver","kg",2001,
"Monterado Mas Mining, PT","Gold","kg",2001,
"Monterado Mas Mining, PT","Silver","kg",2001,
"Prima Lirang Mining, PT","Gold","kg",2001,
"Prima Lirang Mining, PT","Silver","kg",2001,
"Kelian Equatorial Mining, PT","Gold","kg",2001,14501
"Kelian Equatorial Mining, PT","Silver","kg",2001,
"Indo Muro Kencana, PT","Gold","kg",2001,
"Indo Muro Kencana, PT","Silver","kg",2001,
"Newmont Minahasa Raya, PT","Gold","kg",2001,9702
"Newmont Minahasa Raya, PT","Silver","kg",2001,550
"Barisan Tropical Mining, PT","Gold","kg",2001,
"Barisan Tropical Mining, PT","Silver","kg",2001,
"Newmont Nusa Tenggara, PT","Copper","ton",2001,299210
"Newmont Nusa Tenggara, PT","Gold","kg",2001,16765
"Newmont Nusa Tenggara, PT","Silver","kg",2001,59469
"Nusa Halmahera Minerals, PT","Gold","kg",2001,8786
"Nusa Halmahera Minerals, PT","Silver","kg",2001,9635
"Avocet Bolaang Mongondouw, PT","Gold","kg",2001,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2001,
"Galuh Cempaka, PT","Diamond","crt",2001,
"Galuh Cempaka, PT","Gold","kg",2001,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2002,3428946
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2002,37086
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2002,8218
"Aneka Tambang Tbk, PT","Gold","kg",2002,1780
"Aneka Tambang Tbk, PT","Silver","kg",2002,6397
"Aneka Tambang Tbk, PT","Bauxite","mt",2002,1260007
"Aneka Tambang Tbk, PT","Iron sand","wmt",2002,
"Timah Tbk, PT","Tin metal","ton",2002,42832
"Freeport Indonesia, PT","Copper","ton",2002,615751
"Freeport Indonesia, PT","Gold","kg",2002,60691
"Freeport Indonesia, PT","Silver","kg",2002,105352
"Koba Tin, PT","Tin metal","ton",2002,19199
"International Nickel Ind, PT","Ni+Co in matte","ton",2002,62780
"Gunung Kikara Mining, PT","Tin metal","ton",2002,
"Karimun Granite, PT","Granite","ton",2002,3539306
"Lusang Mining, PT","Gold","kg",2002,
"Lusang Mining, PT","Silver","kg",2002,
"Ampalit Mas Perdana, PT","Gold","kg",2002,
"Ampalit Mas Perdana, PT","Silver","kg",2002,
"Monterado Mas Mining, PT","Gold","kg",2002,
"Monterado Mas Mining, PT","Silver","kg",2002,
"Prima Lirang Mining, PT","Gold","kg",2002,
"Prima Lirang Mining, PT","Silver","kg",2002,
"Kelian Equatorial Mining, PT","Gold","kg",2002,16875
"Kelian Equatorial Mining, PT","Silver","kg",2002,15540
"Indo Muro Kencana, PT","Gold","kg",2002,
