tipe_entitas,nama_entitas,tahun,nilai
"BUMN","Bukit Asam",2003,
"BUMN","Bukit Asam - Ombilin",2003,26342
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2003,7635672
"Kontraktor","Adaro Indonesia, PT",2003,8539253.4
"Kontraktor","Allied Indo Coal, PT",2003,117910.65
"Kontraktor","Antang Gunung Meratus, PT",2003,498096.91
"Kontraktor","Arutmin Indonesia, PT",2003,245132
"Kontraktor","Asmin Koalindo Tuhup, PT",2003,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2003,106034
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2003,
"Kontraktor","Baramarta, PD",2003,
"Kontraktor","Baramulti Suksessarana, PT",2003,49190
"Kontraktor","Batualam Selaras, PT",2003,
"Kontraktor","Berau Coal, PT",2003,2324605
"Kontraktor","Borneo Indobara, PT",2003,
"Kontraktor","Firman Ketaun Perkasa, PT",2003,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2003,
"Kontraktor","Indominco Mandiri, PT",2003,
"Kontraktor","Insani Bara Perkasa, PT",2003,
"Kontraktor","Interex Sacra Raya, PT",2003,
"Kontraktor","Intitirta Primasakti, PT",2003,
"Kontraktor","Jorong Barutama Greston, PT",2003,706361.14
"Kontraktor","Kadya Caraka Mulia, PT",2003,
"Kontraktor","Kalimantan Energi Lestari, PT",2003,
"Kontraktor","Kaltim Prima Coal, PT",2003,572468
"Kontraktor","Kartika Selabumi Mining, PT",2003,283867.15
"Kontraktor","Kendilo Coal Indonesia, PT",2003,
"Kontraktor","Kideco Jaya Agung, PT",2003,5203793
"Kontraktor","Lanna Harita Indonesia, PT",2003,78343.21
"Kontraktor","Mahakam Sumber Jaya, PT",2003,
"Kontraktor","Mandiri Intiperkasa, PT",2003,
"Kontraktor","Mantimin Coal Mining, PT",2003,
"Kontraktor","Marunda Graha Mineral, PT",2003,
"Kontraktor","Multi Harapan Utama, PT",2003,423278
"Kontraktor","Multi Tambangjaya Utama, PT",2003,
"Kontraktor","Nusantara Termal Coal, PT",2003,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2003,
"Kontraktor","Perkasa Inakakerta, PT",2003,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2003,
"Kontraktor","Riau Bara Harum, PT",2003,
"Kontraktor","Santan Batubara, PT",2003,
"Kontraktor","Senamas Energindo Mulia, PT",2003,
"Kontraktor","Singlurus Pratama, PT",2003,
"Kontraktor","Sumber Kurnia Buana, PT",2003,932447.49
"Kontraktor","Tanito Harum, PT",2003,
"Kontraktor","Tanjung Alam Jaya, PT",2003,450440.75
"Kontraktor","Teguh Sinar Abadi, PT",2003,
"Kontraktor","Trubaindo Coal Mining, PT",2003,
"Kontraktor","Wahana Baratama Mining, PT",2003,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2003,
"Kuasa Pertambangan Swasta","Prov. Jambi",2003,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2003,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2003,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2003,
"Kuasa Pertambangan Swasta","Prov. Riau",2003,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2003,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2003,
"BUMN","Bukit Asam",2004,2
"BUMN","Bukit Asam - Ombilin",2004,92833
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2004,7117259
"Kontraktor","Adaro Indonesia, PT",2004,7858499
"Kontraktor","Allied Indo Coal, PT",2004,192702
"Kontraktor","Antang Gunung Meratus, PT",2004,613256.8
"Kontraktor","Arutmin Indonesia, PT",2004,920497.38
"Kontraktor","Asmin Koalindo Tuhup, PT",2004,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2004,109888
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2004,
"Kontraktor","Baramarta, PD",2004,
"Kontraktor","Baramulti Suksessarana, PT",2004,57337.62
"Kontraktor","Batualam Selaras, PT",2004,
"Kontraktor","Berau Coal, PT",2004,2970767
"Kontraktor","Borneo Indobara, PT",2004,
"Kontraktor","Firman Ketaun Perkasa, PT",2004,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2004,3343013.2
"Kontraktor","Indominco Mandiri, PT",2004,94539.5
"Kontraktor","Insani Bara Perkasa, PT",2004,
"Kontraktor","Interex Sacra Raya, PT",2004,
"Kontraktor","Intitirta Primasakti, PT",2004,
"Kontraktor","Jorong Barutama Greston, PT",2004,1039801.2
"Kontraktor","Kadya Caraka Mulia, PT",2004,
"Kontraktor","Kalimantan Energi Lestari, PT",2004,
