kode_provinsi,nama_provinsi,pembuangan_akhir_tinja,jumlah_rumah_tangga
11,"Prov. Nanggroe Aceh Darussalam","Lainnya",285506
11,"Prov. Nanggroe Aceh Darussalam","Tangki/SPAL",102903
12,"Prov. Sumatera Utara","Lainnya",601577
12,"Prov. Sumatera Utara","Tangki/SPAL",239881
13,"Prov. Sumatera Barat","Lainnya",250771
13,"Prov. Sumatera Barat","Tangki/SPAL",44753
14,"Prov. Riau","Lainnya",201624
14,"Prov. Riau","Tangki/SPAL",55978
15,"Prov. Jambi","Lainnya",145826
15,"Prov. Jambi","Tangki/SPAL",40088
16,"Prov. Sumatera Selatan","Lainnya",378954
16,"Prov. Sumatera Selatan","Tangki/SPAL",107325
17,"Prov. Bengkulu","Lainnya",111287
17,"Prov. Bengkulu","Tangki/SPAL",20945
18,"Prov. Lampung","Lainnya",515497
18,"Prov. Lampung","Tangki/SPAL",135021
19,"Prov. Kepulauan Bangka Belitung","Lainnya",28403
19,"Prov. Kepulauan Bangka Belitung","Tangki/SPAL",17922
21,"Prov. Kepulauan Riau","Lainnya",42454
21,"Prov. Kepulauan Riau","Tangki/SPAL",30046
31,"Prov. DKI Jakarta","Lainnya",66062
31,"Prov. DKI Jakarta","Tangki/SPAL",206066
32,"Prov. Jawa Barat","Lainnya",2289053
32,"Prov. Jawa Barat","Tangki/SPAL",1030150
33,"Prov. Jawa Tengah","Lainnya",2203382
33,"Prov. Jawa Tengah","Tangki/SPAL",907484
34,"Prov. D I Yogyakarta","Lainnya",143232
34,"Prov. D I Yogyakarta","Tangki/SPAL",217908
35,"Prov. Jawa Timur","Lainnya",2880116
35,"Prov. Jawa Timur","Tangki/SPAL",729248
36,"Prov. Banten","Lainnya",491753
36,"Prov. Banten","Tangki/SPAL",138278
51,"Prov. Bali","Lainnya",104975
51,"Prov. Bali","Tangki/SPAL",89613
52,"Prov. Nusa Tenggara Barat","Lainnya",389421
52,"Prov. Nusa Tenggara Barat","Tangki/SPAL",121199
53,"Prov. Nusa Tenggara Timur","Lainnya",399062
53,"Prov. Nusa Tenggara Timur","Tangki/SPAL",50610
61,"Prov. Kalimantan Barat","Lainnya",226447
61,"Prov. Kalimantan Barat","Tangki/SPAL",31702
62,"Prov. Kalimantan Tengah","Lainnya",82748
62,"Prov. Kalimantan Tengah","Tangki/SPAL",9618
63,"Prov. Kalimantan Selatan","Lainnya",146297
63,"Prov. Kalimantan Selatan","Tangki/SPAL",36074
64,"Prov. Kalimantan Timur","Lainnya",110480
64,"Prov. Kalimantan Timur","Tangki/SPAL",58474
71,"Prov. Sulawesi Utara","Lainnya",108228
71,"Prov. Sulawesi Utara","Tangki/SPAL",65962
72,"Prov. Sulawesi Tengah","Lainnya",179786
72,"Prov. Sulawesi Tengah","Tangki/SPAL",42823
73,"Prov. Sulawesi Selatan","Lainnya",377453
73,"Prov. Sulawesi Selatan","Tangki/SPAL",162931
74,"Prov. Sulawesi Tenggara","Lainnya",137222
74,"Prov. Sulawesi Tenggara","Tangki/SPAL",39025
75,"Prov. Gorontalo","Lainnya",76018
75,"Prov. Gorontalo","Tangki/SPAL",23767
76,"Prov. Sulawesi Barat","Lainnya",68676
76,"Prov. Sulawesi Barat","Tangki/SPAL",15205
81,"Prov. Maluku","Lainnya",94186
81,"Prov. Maluku","Tangki/SPAL",34956
82,"Prov. Maluku Utara","Lainnya",40086
82,"Prov. Maluku Utara","Tangki/SPAL",20958
91,"Prov. Papua Barat","Lainnya",36864
91,"Prov. Papua Barat","Tangki/SPAL",40196
94,"Prov. Papua","Lainnya",197698
94,"Prov. Papua","Tangki/SPAL",54686
