tahun,bulan,kode_pelabuhan,nama_pelabuhan,nilai,berat
1999,"January","959","GALELA , MALUKU",,
1999,"January","ID101","ACEH - SABANG",262,157500
1999,"January","ID110","SINABANG",,
1999,"January","ID112","BAKONGAN",,
1999,"January","ID116","BLANG LANCANG (ARUN)",,
1999,"January","ID119","LHOK NGA",,
1999,"January","ID144","BELAWAN",,
1999,"January","ID157","TELUK MENGKUDU",,
1999,"January","ID166","MEDAN / POLONIA (U)",,
1999,"January","ID191","PADANG/TL.BAYUR",,
1999,"January","ID193","MUARA PADANG",,
1999,"January","ID225","DUMAI",,
1999,"January","ID226","TANJUNG MEDANG",,
1999,"January","ID227","SUNGAI PAKNING",,
1999,"January","ID233","PEKANBARU (RUMBAI)",,
1999,"January","ID245","PULAU KIJANG",,
1999,"January","ID248","TG BALAI KARIMUN",,
1999,"January","ID250","TANJUNG UBAN",,
1999,"January","ID251","TANJUNG PINANG",,
1999,"January","ID257","BELAKANG PADANG",,
1999,"January","ID258","BATU AMPAR",,
1999,"January","ID265","SEKUPANG",,
1999,"January","ID278","PERAWANG, SUMATRA",,
1999,"January","ID292","MUARA SABAK",,
1999,"January","ID323","PANGKAL BALAM",,
1999,"January","ID324","PALEMBANG-KERTAPATI",,
1999,"January","ID326","PALEMBANG - PLAJU",,
1999,"January","ID340","MUSI RIVER",,
1999,"January","ID395","PANJANG",,
1999,"January","ID398","BAKAUHENI",,
1999,"January","ID431","TANJUNG PRIOK",,
1999,"January","ID434","SUKARNO HATTA (U)",,
1999,"January","ID436","HLM. PERDANA KUSUMA",,
1999,"January","ID461","MERAK",,
1999,"January","ID468","BANDUNG(PTT/GD BAGE)",,
1999,"January","ID473","CIGADING",,
1999,"January","ID494","TANJUNG EMAS",,
1999,"January","ID498","JEBRES/ADI SUMARMO",402733,122968
1999,"January","ID563","TANJUNG PERAK",,
1999,"January","ID564","PASURUAN",,
1999,"January","ID595","MENENG",,
1999,"January","ID620","NGURAH RAI (U)",,
1999,"January","ID714","PONTIANAK",,
1999,"January","ID743","PANGKALAN BUN",,
1999,"January","ID771","BANJARMASIN",,
1999,"January","ID777","SAMSUDIN NOOR (U)",,
1999,"January","ID805","SAMARINDA",,
1999,"January","ID808","LINGKAS TARAKAN",,
1999,"January","ID812","BUNYU",77000,1100000
1999,"January","ID824","PULO BUNJU, BORNEO",210000,300000
1999,"January","ID843","SAM RATULANGI (U)",,
1999,"January","ID893","UJUNGPANDANG",600000,500000
1999,"January","ID904","HASANUDDIN (U)",,
1999,"January","ID942","TERNATE",,
1999,"January","ID963","PULAU GEBE",,
1999,"January","IDAHI","AMAHAI",,
1999,"January","IDAMB","AMBON",3342090,2877788
1999,"January","IDAMI","MATARAM / SELAPARANG",856,322
1999,"January","IDAMP","AMPENAN",,
1999,"January","IDAMQ","PATTIMURA/LAHA (U)",,
1999,"January","IDARJ","ARJUNA, JAVA",11313203,1.344e+08
1999,"January","IDAUN","BLANG LANCANG (ARUN)",1.728e+08,1.404e+09
1999,"January","IDBAA","BAA",,
1999,"January","IDBAD","BANDA NAIRA",,
1999,"January","IDBAG","BAGAN SIAPI-API",23577,110801
1999,"January","IDBAJ","BAJO E",,
1999,"January","IDBAL","BALANTANG/MALILI",,
1999,"January","IDBAN","BANJARMASIN",45833456,7.012e+08
1999,"January","IDBDJ","SAMSUDIN NOOR (U)",110278,31170
1999,"January","IDBDO","HUSEIN SASTRANEGARA",,
1999,"January","IDBDS","BADAS SUMBAWA",,
1999,"January","IDBGG","BANGGAI",20706,18678
1999,"January","IDBIK","FRANS KASIEPO (U)",,
1999,"January","IDBIT","BITUNG",12047825,27598793
1999,"January","IDBKI","BIRING KASSI",,
1999,"January","IDBKS","PADANG KEMILING (U)",,
1999,"January","IDBKU","BENGKULU",687481,36051330
1999,"January","IDBLC","BATU LICIN",109947,191093
1999,"January","IDBLG","BALONGAN",4350556,83001992
1999,"January","IDBLI","BLINJU, BANKA",120600,1474200
1999,"January","IDBLJ","BELINJU",,
1999,"January","IDBLS","BENGKALIS",49387,690007
1999,"January","IDBLW","BELAWAN",1.532e+08,2.750e+08
1999,"January","IDBMU","BIMA",,
1999,"January","IDBND","BANDUNG(PTT/GD BAGE)",,
1999,"January","IDBOA","BENOA/LOLOAN",2300785,1106045
1999,"January","IDBPD","BELAKANG PADANG",871813,1.558e+08
1999,"January","IDBPN","SEPINGGAN (U)",97994,30524
1999,"January","IDBPP","BALIKPAPAN",30474784,5.073e+08
1999,"January","IDBTG","BONTANG",1.745e+08,1.691e+09
1999,"January","IDBTH","HANG NADIM (U)",28245387,495655
1999,"January","IDBTN","BINTUHAN",,
1999,"January","IDBTU","BATU AMPAR",1.518e+08,1.437e+09
1999,"January","IDBUN","BUATAN",,
1999,"January","IDBUW","BAU-BAU",80645,105300
1999,"January","IDBXD","BADE, IRIAN JAYA",887108,2008045
1999,"January","IDBYQ","BUNYU",761104,10750000
1999,"January","IDCBW","CELUKAN BAWANG",,
1999,"January","IDCGD","CIGADING",17261713,85741200
1999,"January","IDCGK","SUKARNO HATTA (U)",81525513,11739888
1999,"January","IDCIN","CINTA, JAVA",15973112,2.029e+08
1999,"January","IDCLG","CALANG",,
1999,"January","IDCXP","CILACAP",12180593,95264000
1999,"January","IDDAS","SINGKEP - DABO",770796,1.419e+08
1999,"January","IDDBO","DOBO",,
1999,"January","IDDJB","PALMERAH/ SLT TAHA",,
1999,"January","IDDJJ","JAYAPURA / SENTANI",109382,20304
1999,"January","IDDJM","JAMBI",8445237,15551149
1999,"January","IDDPS","NGURAH RAI (U)",17425783,4213009
1999,"January","IDDUM","DUMAI",1.447e+08,1.732e+09
1999,"January","IDENT","ENTIKONG",49573,33514
1999,"January","IDFKQ","FAK-FAK",224180,650446
1999,"January","IDGAL","GALALA",170593,262150
1999,"January","IDGLX","GALELA , MALUKU",742800,3658000
1999,"January","IDGOR","GORONTALO",104176,91576
1999,"January","IDGRE","GRESIK",3316756,49459205
1999,"January","IDGSR","GESER",,
1999,"January","IDHLP","HLM. PERDANA KUSUMA",140051,12957
1999,"January","IDIDI","IDI",,
1999,"January","IDJKT","JAKARTA / PASAR IKAN",59073,132000
1999,"January","IDJOG","ADI SUCIPTO (U)",59054,3056
1999,"January","IDJOK","YOGYAKARTA (PTT)",,
1999,"January","IDJUA","JUATA TARAKAN",45535,17740
1999,"January","IDKAB","KABIL/PANAU",10262865,1.941e+08
1999,"January","IDKAH","KAHAYAN BAY",143649,336430
1999,"January","IDKAR","KAROSA, SULAWESI",,
1999,"January","IDKBH","KALABAHI",,
1999,"January","IDKDD","KEDINDI/REO",,
1999,"January","IDKDI","WOLTER MONGINSIDI(U)",,
1999,"January","IDKDR","KENDARI",282312,93449
1999,"January","IDKEN","KUALA ENOK",,
1999,"January","IDKGD","KUALA GAUNG",,
1999,"January","IDKGN","KANGEAN",,
1999,"January","IDKID","PULAU KIJANG",3996745,1.980e+08
1999,"January","IDKKP","KUALA KAPUAS",,
1999,"January","IDKLA","KAMP. LAUT",,
1999,"January","IDKLB","KALIBARU",,
1999,"January","IDKLS","KUALA LANGSA",121267,218777
1999,"January","IDKNG","KAIMANA",154458,958971
1999,"January","IDKOE","KUPANG / EL-TARI (U)",2358,1350
1999,"January","IDKPB","KUALA PEMBUANG",,
1999,"January","IDKPN","KOTAPINANG, BARU",,
1999,"January","IDKRI","KRUI",,
1999,"January","IDKRU","KRUENG R. MALAHAYATI",,
1999,"January","IDKTB","KOTABARU",21529834,8.733e+08
1999,"January","IDKTG","KETAPANG K. BARAT",830227,2352464
1999,"January","IDKTJ","KUALA TANJUNG",17936537,24520624
1999,"January","IDKTK","KUALA TUNGKAL",8716812,82375828
