tahun,bulan,kode_pelabuhan,nama_pelabuhan,nilai,berat
1999,"January","101","NA",,
1999,"January","102","ULEE LHEUE",,
1999,"January","104","LHOK SEUMAWE",,
1999,"January","108","MEULABOH",,
1999,"January","112","BAKONGAN",,
1999,"January","264","BAGAN SIAPI-API(U)",,
1999,"January","293","JAMBI",,
1999,"January","324","PALEMBANG-KERTAPATI",,
1999,"January","326","PALEMBANG - PLAJU",,
1999,"January","431","TANJUNG PRIOK",5094567,2974986
1999,"January","434","SUKARNO HATTA (U)",,
1999,"January","461","MERAK",,
1999,"January","494","TANJUNG EMAS",2668,13592
1999,"January","563","TANJUNG PERAK",,
1999,"January","612","GILIMANUK",,
1999,"January","620","NGURAH RAI (U)",,
1999,"January","714","PONTIANAK",,
1999,"January","843","SAM RATULANGI (U)",,
1999,"January","893","UJUNGPANDANG",,
1999,"January","897","MALILI, SULAWESI",,
1999,"January","ID101","ACEH - SABANG",,
1999,"January","ID112","BAKONGAN",,
1999,"January","ID225","DUMAI",,
1999,"January","ID326","PALEMBANG - PLAJU",,
1999,"January","ID431","TANJUNG PRIOK",,
1999,"January","ID434","SUKARNO HATTA (U)",,
1999,"January","ID468","BANDUNG(PTT/GD BAGE)",,
1999,"January","IDAMB","AMBON",,
1999,"January","IDAMI","MATARAM / SELAPARANG",68227,2212
1999,"January","IDAUN","BLANG LANCANG (ARUN)",8558741,853706
1999,"January","IDBAG","BAGAN SIAPI-API",,
1999,"January","IDBAJ","BAJO E",,
1999,"January","IDBAL","BALANTANG/MALILI",,
1999,"January","IDBAN","BANJARMASIN",12800808,9023185
1999,"January","IDBAO","BAKONGAN",,
1999,"January","IDBDJ","SAMSUDIN NOOR (U)",,
1999,"January","IDBDL","BANDUL",,
1999,"January","IDBDO","HUSEIN SASTRANEGARA",,
1999,"January","IDBDS","BADAS SUMBAWA",,
1999,"January","IDBEK","BEKAPAI",,
1999,"January","IDBIK","FRANS KASIEPO (U)",,
1999,"January","IDBIT","BITUNG",1477055,2013738
1999,"January","IDBJU","BANYUWANGI",,
1999,"January","IDBKI","BIRING KASSI",429547,21573973
1999,"January","IDBKU","BENGKULU",1537,27
1999,"January","IDBLG","BALONGAN",,
1999,"January","IDBLS","BENGKALIS",,
1999,"January","IDBLW","BELAWAN",67523582,1.980e+08
1999,"January","IDBMU","BIMA",5737358,954233
1999,"January","IDBND","BANDUNG(PTT/GD BAGE)",102240,25807
1999,"January","IDBOA","BENOA/LOLOAN",6398604,17710680
1999,"January","IDBPD","BELAKANG PADANG",28694,50977
1999,"January","IDBPN","SEPINGGAN (U)",5564008,2044620
1999,"January","IDBPP","BALIKPAPAN",39933680,2.250e+08
1999,"January","IDBTG","BONTANG",37395113,1426893
1999,"January","IDBTH","HANG NADIM (U)",,
1999,"January","IDBTJ","BLANG BINTANG (U)",294368,48270
