kode_provinsi,nama_provinsi,tahun,jumlah_putus_sekolah,persen_putus_sekolah
11,"Prov. Nanggroe Aceh Darussalam",2008,2299,1.752778
11,"Prov. Nanggroe Aceh Darussalam",2009,2004,7.680208
11,"Prov. Nanggroe Aceh Darussalam",2010,2512,5.799243
11,"Prov. Nanggroe Aceh Darussalam",2011,3814,8.067177
12,"Prov. Sumatera Utara",2008,5150,1.342826
12,"Prov. Sumatera Utara",2009,12679,2.399522
12,"Prov. Sumatera Utara",2010,6157,2.367221
12,"Prov. Sumatera Utara",2011,6945,2.390484
13,"Prov. Sumatera Barat",2008,2781,1.532495
13,"Prov. Sumatera Barat",2009,3635,4.145189
13,"Prov. Sumatera Barat",2010,5219,6.633619
13,"Prov. Sumatera Barat",2011,4602,5.647249
14,"Prov. Riau",2008,1590,1.326525
14,"Prov. Riau",2009,3002,3.605943
14,"Prov. Riau",2010,2159,3.731421
14,"Prov. Riau",2011,3009,4.498161
15,"Prov. Jambi",2008,603,1.524367
15,"Prov. Jambi",2009,1292,2.571382
15,"Prov. Jambi",2010,1383,4.402356
15,"Prov. Jambi",2011,1783,4.854475
16,"Prov. Sumatera Selatan",2008,2416,1.580505
16,"Prov. Sumatera Selatan",2009,2826,4.421229
16,"Prov. Sumatera Selatan",2010,2885,4.406396
16,"Prov. Sumatera Selatan",2011,4768,6.299795
17,"Prov. Bengkulu",2008,345,1.279221
17,"Prov. Bengkulu",2009,923,2.031491
17,"Prov. Bengkulu",2010,1143,4.687308
17,"Prov. Bengkulu",2011,3014,11.25173
18,"Prov. Lampung",2008,1418,1.091472
18,"Prov. Lampung",2009,4750,1.845307
18,"Prov. Lampung",2010,2343,2.54298
18,"Prov. Lampung",2011,4125,4.040196
19,"Prov. Kepulauan Bangka Belitung",2008,529,1.348507
19,"Prov. Kepulauan Bangka Belitung",2009,704,3.601522
19,"Prov. Kepulauan Bangka Belitung",2010,1050,5.513547
19,"Prov. Kepulauan Bangka Belitung",2011,1849,8.815256
21,"Prov. Kepulauan Riau",2008,362,1.168096
21,"Prov. Kepulauan Riau",2009,1182,2.864442
21,"Prov. Kepulauan Riau",2010,710,4.294701
21,"Prov. Kepulauan Riau",2011,714,3.776379
31,"Prov. DKI Jakarta",2008,6705,1.031277
31,"Prov. DKI Jakarta",2009,16620,3.240009
31,"Prov. DKI Jakarta",2010,6859,2.765659
31,"Prov. DKI Jakarta",2011,21041,8.185058
32,"Prov. Jawa Barat",2008,11883,1.374266
