kode_provinsi,nama_provinsi,tahun,jumlah_putus_sekolah,persen_putus_sekolah
11,"Prov. Nanggroe Aceh Darussalam",2008,8563,3.932997
11,"Prov. Nanggroe Aceh Darussalam",2009,746,.3488214
11,"Prov. Nanggroe Aceh Darussalam",2010,7236,3.377946
11,"Prov. Nanggroe Aceh Darussalam",2011,2699,1.332188
12,"Prov. Sumatera Utara",2008,15925,2.476753
12,"Prov. Sumatera Utara",2009,152,.0230475
12,"Prov. Sumatera Utara",2010,12608,1.868688
12,"Prov. Sumatera Utara",2011,4925,.7873877
13,"Prov. Sumatera Barat",2008,3767,1.868477
13,"Prov. Sumatera Barat",2009,75,.0357407
13,"Prov. Sumatera Barat",2010,2355,1.046671
13,"Prov. Sumatera Barat",2011,3093,1.49289
14,"Prov. Riau",2008,5903,3.28598
14,"Prov. Riau",2009,11501,5.962095
14,"Prov. Riau",2010,5611,2.858919
14,"Prov. Riau",2011,2556,1.166324
15,"Prov. Jambi",2008,4300,4.056642
15,"Prov. Jambi",2009,1010,.9135972
15,"Prov. Jambi",2010,3944,3.420227
15,"Prov. Jambi",2011,3407,2.866421
16,"Prov. Sumatera Selatan",2008,5389,1.738376
16,"Prov. Sumatera Selatan",2009,7446,2.343956
16,"Prov. Sumatera Selatan",2010,4608,1.451531
16,"Prov. Sumatera Selatan",2011,7560,2.353161
17,"Prov. Bengkulu",2008,2105,2.565822
17,"Prov. Bengkulu",2009,2245,2.648968
17,"Prov. Bengkulu",2010,1544,1.808661
17,"Prov. Bengkulu",2011,2111,2.45957
18,"Prov. Lampung",2008,11030,3.787176
18,"Prov. Lampung",2009,10830,3.587827
18,"Prov. Lampung",2010,9767,3.096595
18,"Prov. Lampung",2011,5102,1.633225
19,"Prov. Kepulauan Bangka Belitung",2008,1787,4.402128
19,"Prov. Kepulauan Bangka Belitung",2009,1074,2.514104
19,"Prov. Kepulauan Bangka Belitung",2010,1494,3.446049
19,"Prov. Kepulauan Bangka Belitung",2011,1045,2.385028
21,"Prov. Kepulauan Riau",2008,2269,4.80415
21,"Prov. Kepulauan Riau",2009,446,.8680251
21,"Prov. Kepulauan Riau",2010,2238,3.868559
21,"Prov. Kepulauan Riau",2011,1415,2.344074
31,"Prov. DKI Jakarta",2008,2510,.6580811
31,"Prov. DKI Jakarta",2009,5641,1.473769
31,"Prov. DKI Jakarta",2010,1951,.5089729
31,"Prov. DKI Jakarta",2011,2033,.5957788
32,"Prov. Jawa Barat",2008,38779,2.960462
32,"Prov. Jawa Barat",2009,75416,5.293053
32,"Prov. Jawa Barat",2010,31282,2.105853
32,"Prov. Jawa Barat",2011,23903,1.452884
33,"Prov. Jawa Tengah",2008,18780,1.527563
33,"Prov. Jawa Tengah",2009,8000,.6330236
33,"Prov. Jawa Tengah",2010,6161,.4767284
33,"Prov. Jawa Tengah",2011,7586,.6376837
34,"Prov. D I Yogyakarta",2008,1726,1.252676
34,"Prov. D I Yogyakarta",2009,328,.2420146
34,"Prov. D I Yogyakarta",2010,300,.2243729
34,"Prov. D I Yogyakarta",2011,464,.3769936
35,"Prov. Jawa Timur",2008,15769,1.365452
35,"Prov. Jawa Timur",2009,16618,1.393725
35,"Prov. Jawa Timur",2010,13218,1.084416
35,"Prov. Jawa Timur",2011,14783,1.215875
36,"Prov. Banten",2008,5304,1.563933
36,"Prov. Banten",2009,18132,5.035562
36,"Prov. Banten",2010,4439,1.201265
36,"Prov. Banten",2011,8965,2.304864
51,"Prov. Bali",2008,4466,2.88423
51,"Prov. Bali",2009,510,.3051645
51,"Prov. Bali",2010,2909,1.682826
51,"Prov. Bali",2011,1730,.9641374
52,"Prov. Nusa Tenggara Barat",2008,4012,2.520211
