kode_provinsi,nama_provinsi,tingkat_pendidikan,jenis_kelamin,jumlah_individu
11,"Prov. Nanggroe Aceh Darussalam","M. Aliyah","Laki-Laki",1842
11,"Prov. Nanggroe Aceh Darussalam","M. Aliyah","Perempuan",2370
11,"Prov. Nanggroe Aceh Darussalam","M. Ibtidaiyah","Laki-Laki",12953
11,"Prov. Nanggroe Aceh Darussalam","M. Ibtidaiyah","Perempuan",12681
11,"Prov. Nanggroe Aceh Darussalam","M. Tsanawiyah","Laki-Laki",5499
11,"Prov. Nanggroe Aceh Darussalam","M. Tsanawiyah","Perempuan",5857
11,"Prov. Nanggroe Aceh Darussalam","Perguruan Tinggi","Laki-Laki",10110
11,"Prov. Nanggroe Aceh Darussalam","Perguruan Tinggi","Perempuan",15650
11,"Prov. Nanggroe Aceh Darussalam","SD/SDLB/Paket A","Laki-Laki",142893
11,"Prov. Nanggroe Aceh Darussalam","SD/SDLB/Paket A","Perempuan",132173
11,"Prov. Nanggroe Aceh Darussalam","SMA/SMK/SMALB/Paket C","Laki-Laki",39685
11,"Prov. Nanggroe Aceh Darussalam","SMA/SMK/SMALB/Paket C","Perempuan",40817
11,"Prov. Nanggroe Aceh Darussalam","SMPT/SMPLB/Paket B","Laki-Laki",60907
11,"Prov. Nanggroe Aceh Darussalam","SMPT/SMPLB/Paket B","Perempuan",58949
12,"Prov. Sumatera Utara","M. Aliyah","Laki-Laki",2849
12,"Prov. Sumatera Utara","M. Aliyah","Perempuan",4410
12,"Prov. Sumatera Utara","M. Ibtidaiyah","Laki-Laki",8336
12,"Prov. Sumatera Utara","M. Ibtidaiyah","Perempuan",8673
12,"Prov. Sumatera Utara","M. Tsanawiyah","Laki-Laki",9859
12,"Prov. Sumatera Utara","M. Tsanawiyah","Perempuan",11469
12,"Prov. Sumatera Utara","Perguruan Tinggi","Laki-Laki",4870
12,"Prov. Sumatera Utara","Perguruan Tinggi","Perempuan",5629
12,"Prov. Sumatera Utara","SD/SDLB/Paket A","Laki-Laki",379871
12,"Prov. Sumatera Utara","SD/SDLB/Paket A","Perempuan",352789
12,"Prov. Sumatera Utara","SMA/SMK/SMALB/Paket C","Laki-Laki",74784
12,"Prov. Sumatera Utara","SMA/SMK/SMALB/Paket C","Perempuan",76917
12,"Prov. Sumatera Utara","SMPT/SMPLB/Paket B","Laki-Laki",125363
12,"Prov. Sumatera Utara","SMPT/SMPLB/Paket B","Perempuan",118520
13,"Prov. Sumatera Barat","M. Aliyah","Laki-Laki",1322
13,"Prov. Sumatera Barat","M. Aliyah","Perempuan",2204
13,"Prov. Sumatera Barat","M. Ibtidaiyah","Laki-Laki",2589
13,"Prov. Sumatera Barat","M. Ibtidaiyah","Perempuan",2753
13,"Prov. Sumatera Barat","M. Tsanawiyah","Laki-Laki",5994
13,"Prov. Sumatera Barat","M. Tsanawiyah","Perempuan",6975
13,"Prov. Sumatera Barat","Perguruan Tinggi","Laki-Laki",2640
13,"Prov. Sumatera Barat","Perguruan Tinggi","Perempuan",4825
13,"Prov. Sumatera Barat","SD/SDLB/Paket A","Laki-Laki",136359
13,"Prov. Sumatera Barat","SD/SDLB/Paket A","Perempuan",122874
13,"Prov. Sumatera Barat","SMA/SMK/SMALB/Paket C","Laki-Laki",22220
13,"Prov. Sumatera Barat","SMA/SMK/SMALB/Paket C","Perempuan",26580
13,"Prov. Sumatera Barat","SMPT/SMPLB/Paket B","Laki-Laki",37196
13,"Prov. Sumatera Barat","SMPT/SMPLB/Paket B","Perempuan",37541
14,"Prov. Riau","M. Aliyah","Laki-Laki",1357
14,"Prov. Riau","M. Aliyah","Perempuan",1731
14,"Prov. Riau","M. Ibtidaiyah","Laki-Laki",2803
14,"Prov. Riau","M. Ibtidaiyah","Perempuan",2748
14,"Prov. Riau","M. Tsanawiyah","Laki-Laki",4419
14,"Prov. Riau","M. Tsanawiyah","Perempuan",4696
14,"Prov. Riau","Perguruan Tinggi","Laki-Laki",2405
14,"Prov. Riau","Perguruan Tinggi","Perempuan",2764
14,"Prov. Riau","SD/SDLB/Paket A","Laki-Laki",106311
14,"Prov. Riau","SD/SDLB/Paket A","Perempuan",97862
14,"Prov. Riau","SMA/SMK/SMALB/Paket C","Laki-Laki",19676
14,"Prov. Riau","SMA/SMK/SMALB/Paket C","Perempuan",19349
14,"Prov. Riau","SMPT/SMPLB/Paket B","Laki-Laki",32354
14,"Prov. Riau","SMPT/SMPLB/Paket B","Perempuan",31123
15,"Prov. Jambi","M. Aliyah","Laki-Laki",1077
15,"Prov. Jambi","M. Aliyah","Perempuan",1337
15,"Prov. Jambi","M. Ibtidaiyah","Laki-Laki",1545
15,"Prov. Jambi","M. Ibtidaiyah","Perempuan",1490
15,"Prov. Jambi","M. Tsanawiyah","Laki-Laki",3547
15,"Prov. Jambi","M. Tsanawiyah","Perempuan",3681
15,"Prov. Jambi","Perguruan Tinggi","Laki-Laki",1649
15,"Prov. Jambi","Perguruan Tinggi","Perempuan",1693
15,"Prov. Jambi","SD/SDLB/Paket A","Laki-Laki",65066
15,"Prov. Jambi","SD/SDLB/Paket A","Perempuan",58977
15,"Prov. Jambi","SMA/SMK/SMALB/Paket C","Laki-Laki",10653
15,"Prov. Jambi","SMA/SMK/SMALB/Paket C","Perempuan",10304
15,"Prov. Jambi","SMPT/SMPLB/Paket B","Laki-Laki",18443
15,"Prov. Jambi","SMPT/SMPLB/Paket B","Perempuan",17655
16,"Prov. Sumatera Selatan","M. Aliyah","Laki-Laki",809
16,"Prov. Sumatera Selatan","M. Aliyah","Perempuan",961
16,"Prov. Sumatera Selatan","M. Ibtidaiyah","Laki-Laki",5264
16,"Prov. Sumatera Selatan","M. Ibtidaiyah","Perempuan",5553
16,"Prov. Sumatera Selatan","M. Tsanawiyah","Laki-Laki",2758
16,"Prov. Sumatera Selatan","M. Tsanawiyah","Perempuan",2920
16,"Prov. Sumatera Selatan","Perguruan Tinggi","Laki-Laki",1598
16,"Prov. Sumatera Selatan","Perguruan Tinggi","Perempuan",2100
16,"Prov. Sumatera Selatan","SD/SDLB/Paket A","Laki-Laki",196202
